meeting_id,user_a_id,user_b_id,meeting_number,meeting_date,time_slot,location_id,success,engaged,outcome_stage,location_name
49,1,222,1,2025-11-04,late_evening,10,True,False,continued,Side-street benches near 15th Ave
50,1,225,1,2025-07-25,early_evening,2,True,False,continued,Borough Park Library
51,1,225,2,2025-08-01,late_evening,3,True,False,continued,14th Ave Green Corridor
52,1,225,3,2025-08-08,early_evening,1,True,False,continued,Leif Ericson Park - benches
53,1,225,4,2025-08-15,early_evening,13,True,False,continued,13th Ave Plaza Seating
54,1,244,1,2025-08-29,early_evening,10,True,False,continued,Side-street benches near 15th Ave
55,1,244,2,2025-09-05,afternoon,11,True,False,continued,Dahill Road Pocket Park
56,1,254,1,2025-08-18,early_evening,13,True,False,continued,13th Ave Plaza Seating
57,1,254,2,2025-08-25,early_evening,5,True,True,engaged,Schoolyard near 50th St
58,1,254,3,2025-09-01,early_evening,8,True,False,continued,Quiet corner near 53rd St
59,1,254,4,2025-09-08,afternoon,2,True,True,engaged,Borough Park Library
60,1,277,1,2025-11-08,early_evening,2,True,False,continued,Borough Park Library
61,1,277,2,2025-11-15,afternoon,10,True,False,continued,Side-street benches near 15th Ave
62,2,19,1,2025-01-28,early_evening,6,True,False,continued,Small playground on 17th Ave
63,2,19,2,2025-02-04,early_evening,7,True,False,continued,Community center courtyard
64,2,51,1,2025-02-20,early_evening,13,True,False,continued,13th Ave Plaza Seating
65,2,51,2,2025-02-27,early_evening,9,True,False,continued,Local café seating area
66,2,51,3,2025-03-06,early_evening,7,False,False,stopped,Community center courtyard
67,2,51,4,2025-03-13,early_evening,7,True,False,continued,Community center courtyard
68,2,51,5,2025-03-20,afternoon,3,True,False,continued,14th Ave Green Corridor
69,2,77,1,2025-04-17,early_evening,1,True,True,engaged,Leif Ericson Park - benches
70,2,77,2,2025-04-24,late_evening,5,True,False,continued,Schoolyard near 50th St
71,2,77,3,2025-05-01,early_evening,3,True,False,continued,14th Ave Green Corridor
72,2,77,4,2025-05-08,afternoon,4,True,False,continued,18th Ave Small Plaza
73,2,85,1,2025-11-06,late_evening,15,True,False,continued,16th Ave Shul Courtyard
74,2,85,2,2025-11-13,afternoon,3,True,False,continued,14th Ave Green Corridor
75,2,85,3,2025-11-20,early_evening,1,True,False,continued,Leif Ericson Park - benches
76,2,90,1,2025-05-23,early_evening,3,True,True,engaged,14th Ave Green Corridor
77,2,90,2,2025-05-30,afternoon,3,True,False,continued,14th Ave Green Corridor
78,2,90,3,2025-06-06,early_evening,10,True,False,continued,Side-street benches near 15th Ave
79,2,143,1,2025-09-24,early_evening,7,True,False,continued,Community center courtyard
80,2,143,2,2025-10-01,early_evening,13,True,False,continued,13th Ave Plaza Seating
81,2,143,3,2025-10-08,afternoon,10,True,False,continued,Side-street benches near 15th Ave
82,2,143,4,2025-10-15,early_evening,4,True,False,continued,18th Ave Small Plaza
83,2,152,1,2025-03-06,late_evening,13,True,False,continued,13th Ave Plaza Seating
84,2,152,2,2025-03-13,late_evening,2,True,False,continued,Borough Park Library
85,2,152,3,2025-03-20,late_evening,1,True,False,continued,Leif Ericson Park - benches
86,2,152,4,2025-03-27,early_evening,1,True,True,engaged,Leif Ericson Park - benches
87,2,166,1,2025-09-23,afternoon,12,True,False,continued,Fort Hamilton Pkwy Triangle
88,2,166,2,2025-09-30,early_evening,5,True,False,continued,Schoolyard near 50th St
89,2,166,3,2025-10-07,early_evening,2,True,False,continued,Borough Park Library
90,2,166,4,2025-10-14,late_evening,7,True,True,engaged,Community center courtyard
91,2,200,1,2025-09-21,afternoon,2,True,False,continued,Borough Park Library
92,2,200,2,2025-09-28,early_evening,10,True,False,continued,Side-street benches near 15th Ave
93,2,200,3,2025-10-05,early_evening,5,True,False,continued,Schoolyard near 50th St
94,2,214,1,2025-05-29,afternoon,4,True,False,continued,18th Ave Small Plaza
95,2,214,2,2025-06-05,early_evening,3,True,False,continued,14th Ave Green Corridor
96,2,214,3,2025-06-12,afternoon,9,True,False,continued,Local café seating area
97,2,223,1,2025-10-20,afternoon,4,True,False,continued,18th Ave Small Plaza
98,2,223,2,2025-10-27,early_evening,1,True,False,continued,Leif Ericson Park - benches
99,2,231,1,2025-12-06,afternoon,2,True,False,continued,Borough Park Library
100,2,231,2,2025-12-13,early_evening,19,True,True,engaged,10th Ave bus stop benches
101,2,231,3,2025-12-20,late_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
102,2,231,4,2025-12-27,afternoon,10,True,False,continued,Side-street benches near 15th Ave
103,2,231,5,2026-01-03,early_evening,3,True,False,continued,14th Ave Green Corridor
104,2,231,6,2026-01-10,early_evening,19,True,False,continued,10th Ave bus stop benches
105,2,232,1,2025-03-08,afternoon,13,True,True,engaged,13th Ave Plaza Seating
106,2,232,2,2025-03-15,afternoon,11,True,False,continued,Dahill Road Pocket Park
107,2,232,3,2025-03-22,early_evening,5,True,False,continued,Schoolyard near 50th St
108,2,232,4,2025-03-29,late_evening,3,True,False,continued,14th Ave Green Corridor
109,2,235,1,2025-12-04,early_evening,1,True,False,continued,Leif Ericson Park - benches
110,2,245,1,2025-10-21,early_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
111,2,245,2,2025-10-28,afternoon,5,True,True,engaged,Schoolyard near 50th St
112,2,245,3,2025-11-04,afternoon,3,True,False,continued,14th Ave Green Corridor
113,2,247,1,2025-04-30,late_evening,3,True,False,continued,14th Ave Green Corridor
114,2,247,2,2025-05-07,afternoon,8,True,False,continued,Quiet corner near 53rd St
115,2,247,3,2025-05-14,early_evening,2,False,False,stopped,Borough Park Library
116,2,247,4,2025-05-21,early_evening,15,True,False,continued,16th Ave Shul Courtyard
117,2,268,1,2025-03-31,afternoon,12,True,False,continued,Fort Hamilton Pkwy Triangle
118,2,268,2,2025-04-07,early_evening,11,True,False,continued,Dahill Road Pocket Park
119,2,268,3,2025-04-14,early_evening,5,True,False,continued,Schoolyard near 50th St
120,2,275,1,2025-10-14,early_evening,9,True,False,continued,Local café seating area
121,2,275,2,2025-10-21,early_evening,8,True,False,continued,Quiet corner near 53rd St
122,2,299,1,2025-05-02,early_evening,10,True,False,continued,Side-street benches near 15th Ave
123,2,299,2,2025-05-09,early_evening,1,True,False,continued,Leif Ericson Park - benches
124,2,299,3,2025-05-16,early_evening,4,True,False,continued,18th Ave Small Plaza
125,2,299,4,2025-05-23,early_evening,1,True,False,continued,Leif Ericson Park - benches
126,3,19,1,2025-09-02,afternoon,6,True,True,engaged,Small playground on 17th Ave
127,3,19,2,2025-09-09,early_evening,4,True,False,continued,18th Ave Small Plaza
128,3,19,3,2025-09-16,early_evening,2,True,False,continued,Borough Park Library
129,3,37,1,2025-05-03,afternoon,2,True,False,continued,Borough Park Library
130,3,37,2,2025-05-10,early_evening,9,True,False,continued,Local café seating area
131,3,37,3,2025-05-17,early_evening,2,True,False,continued,Borough Park Library
132,3,51,1,2025-10-04,early_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
133,3,51,2,2025-10-11,early_evening,8,True,True,engaged,Quiet corner near 53rd St
134,3,51,3,2025-10-18,early_evening,4,True,False,continued,18th Ave Small Plaza
135,3,51,4,2025-10-25,afternoon,9,True,False,continued,Local café seating area
136,3,85,1,2025-05-30,early_evening,1,True,False,continued,Leif Ericson Park - benches
137,3,85,2,2025-06-06,early_evening,18,True,False,continued,Neighborhood clinic garden
138,3,85,3,2025-06-13,late_evening,6,True,False,continued,Small playground on 17th Ave
139,3,85,4,2025-06-20,early_evening,13,True,False,continued,13th Ave Plaza Seating
140,3,90,1,2025-02-01,late_evening,1,True,False,continued,Leif Ericson Park - benches
141,3,90,2,2025-02-08,afternoon,6,True,True,engaged,Small playground on 17th Ave
142,3,90,3,2025-02-15,early_evening,6,True,False,continued,Small playground on 17th Ave
143,3,143,1,2025-10-03,early_evening,18,True,False,continued,Neighborhood clinic garden
144,3,143,2,2025-10-10,late_evening,8,True,False,continued,Quiet corner near 53rd St
145,3,166,1,2025-03-02,early_evening,6,True,False,continued,Small playground on 17th Ave
146,3,166,2,2025-03-09,late_evening,3,True,False,continued,14th Ave Green Corridor
147,3,166,3,2025-03-16,late_evening,4,True,False,continued,18th Ave Small Plaza
148,3,214,1,2025-12-29,early_evening,7,True,False,continued,Community center courtyard
149,3,214,2,2026-01-05,late_evening,5,True,False,continued,Schoolyard near 50th St
150,3,214,3,2026-01-12,early_evening,1,True,False,continued,Leif Ericson Park - benches
151,3,223,1,2025-07-23,afternoon,14,True,True,engaged,45th St Mini Playground
152,3,231,1,2025-07-30,early_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
153,3,231,2,2025-08-06,early_evening,2,True,False,continued,Borough Park Library
154,3,231,3,2025-08-13,late_evening,7,True,False,continued,Community center courtyard
155,3,232,1,2025-06-30,early_evening,2,True,False,continued,Borough Park Library
156,3,232,2,2025-07-07,early_evening,10,True,False,continued,Side-street benches near 15th Ave
157,3,236,1,2025-03-24,early_evening,3,True,False,continued,14th Ave Green Corridor
158,3,236,2,2025-03-31,early_evening,10,True,False,continued,Side-street benches near 15th Ave
159,3,236,3,2025-04-07,early_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
160,3,236,4,2025-04-14,late_evening,13,True,False,continued,13th Ave Plaza Seating
161,3,236,5,2025-04-21,late_evening,2,True,False,continued,Borough Park Library
162,3,245,1,2025-09-03,early_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
163,3,245,2,2025-09-10,late_evening,3,True,True,engaged,14th Ave Green Corridor
164,3,268,1,2025-11-03,early_evening,1,True,False,continued,Leif Ericson Park - benches
165,3,268,2,2025-11-10,early_evening,7,True,False,continued,Community center courtyard
166,3,268,3,2025-11-17,early_evening,4,True,False,continued,18th Ave Small Plaza
167,3,268,4,2025-11-24,early_evening,14,True,False,continued,45th St Mini Playground
168,3,275,1,2025-07-07,late_evening,13,True,False,continued,13th Ave Plaza Seating
169,3,275,2,2025-07-14,afternoon,4,True,False,continued,18th Ave Small Plaza
170,3,275,3,2025-07-21,early_evening,18,True,False,continued,Neighborhood clinic garden
171,4,11,1,2025-07-14,late_evening,3,True,False,continued,14th Ave Green Corridor
172,4,11,2,2025-07-21,early_evening,7,True,False,continued,Community center courtyard
173,4,11,3,2025-07-28,early_evening,3,True,False,continued,14th Ave Green Corridor
174,4,11,4,2025-08-04,afternoon,18,True,False,continued,Neighborhood clinic garden
175,4,30,1,2025-03-30,late_evening,2,True,False,continued,Borough Park Library
176,4,30,2,2025-04-06,early_evening,1,True,True,engaged,Leif Ericson Park - benches
177,4,30,3,2025-04-13,early_evening,5,True,False,continued,Schoolyard near 50th St
178,4,30,4,2025-04-20,afternoon,20,True,False,continued,18th Ave median benches
179,4,58,1,2025-11-30,early_evening,17,False,False,stopped,Overpass seating by New Utrecht Ave
180,4,58,2,2025-12-07,afternoon,12,True,False,continued,Fort Hamilton Pkwy Triangle
181,4,68,1,2025-05-16,afternoon,17,True,False,continued,Overpass seating by New Utrecht Ave
182,4,68,2,2025-05-23,late_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
183,4,68,3,2025-05-30,early_evening,7,True,False,continued,Community center courtyard
184,4,96,1,2025-10-11,early_evening,4,True,False,continued,18th Ave Small Plaza
185,4,96,2,2025-10-18,late_evening,13,True,False,continued,13th Ave Plaza Seating
186,4,96,3,2025-10-25,afternoon,10,True,False,continued,Side-street benches near 15th Ave
187,4,96,4,2025-11-01,afternoon,4,True,False,continued,18th Ave Small Plaza
188,4,96,5,2025-11-08,late_evening,1,True,False,continued,Leif Ericson Park - benches
189,4,97,1,2025-04-24,afternoon,12,True,False,continued,Fort Hamilton Pkwy Triangle
190,4,97,2,2025-05-01,late_evening,3,True,False,continued,14th Ave Green Corridor
191,4,97,3,2025-05-08,afternoon,18,True,False,continued,Neighborhood clinic garden
192,4,97,4,2025-05-15,early_evening,3,True,True,engaged,14th Ave Green Corridor
193,4,100,1,2025-05-29,early_evening,2,True,False,continued,Borough Park Library
194,4,100,2,2025-06-05,early_evening,14,True,False,continued,45th St Mini Playground
195,4,100,3,2025-06-12,afternoon,2,True,False,continued,Borough Park Library
196,4,100,4,2025-06-19,early_evening,2,True,False,continued,Borough Park Library
197,4,111,1,2025-01-09,afternoon,9,True,False,continued,Local café seating area
198,4,111,2,2025-01-16,early_evening,16,True,False,continued,60th St Sitting Area
199,4,111,3,2025-01-23,early_evening,3,True,False,continued,14th Ave Green Corridor
200,4,131,1,2025-01-01,early_evening,4,False,False,stopped,18th Ave Small Plaza
201,4,131,2,2025-01-08,early_evening,13,True,False,continued,13th Ave Plaza Seating
202,4,131,3,2025-01-15,early_evening,19,True,False,continued,10th Ave bus stop benches
203,4,148,1,2025-01-08,early_evening,7,True,False,continued,Community center courtyard
204,4,148,2,2025-01-15,afternoon,2,True,False,continued,Borough Park Library
205,4,148,3,2025-01-22,early_evening,1,True,False,continued,Leif Ericson Park - benches
206,4,148,4,2025-01-29,late_evening,3,True,False,continued,14th Ave Green Corridor
207,4,164,1,2025-11-01,late_evening,2,True,False,continued,Borough Park Library
208,4,164,2,2025-11-08,early_evening,10,True,False,continued,Side-street benches near 15th Ave
209,4,175,1,2025-03-23,late_evening,2,True,False,continued,Borough Park Library
210,4,175,2,2025-03-30,early_evening,7,True,False,continued,Community center courtyard
211,4,175,3,2025-04-06,early_evening,10,True,False,continued,Side-street benches near 15th Ave
212,4,197,1,2025-04-08,afternoon,8,True,False,continued,Quiet corner near 53rd St
213,4,213,1,2025-04-08,early_evening,3,True,False,continued,14th Ave Green Corridor
214,4,213,2,2025-04-15,early_evening,13,False,False,stopped,13th Ave Plaza Seating
215,4,213,3,2025-04-22,early_evening,11,True,False,continued,Dahill Road Pocket Park
216,4,246,1,2025-07-02,early_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
217,4,249,1,2025-07-31,afternoon,2,True,False,continued,Borough Park Library
218,4,249,2,2025-08-07,late_evening,2,True,False,continued,Borough Park Library
219,4,276,1,2025-07-03,afternoon,17,True,False,continued,Overpass seating by New Utrecht Ave
220,4,276,2,2025-07-10,afternoon,4,True,False,continued,18th Ave Small Plaza
221,4,276,3,2025-07-17,early_evening,3,False,False,stopped,14th Ave Green Corridor
222,4,292,1,2025-11-14,late_evening,6,True,False,continued,Small playground on 17th Ave
223,4,292,2,2025-11-21,early_evening,10,True,False,continued,Side-street benches near 15th Ave
224,4,293,1,2025-11-09,early_evening,18,True,False,continued,Neighborhood clinic garden
225,4,293,2,2025-11-16,early_evening,3,True,False,continued,14th Ave Green Corridor
226,4,293,3,2025-11-23,early_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
227,4,297,1,2025-02-27,early_evening,1,True,False,continued,Leif Ericson Park - benches
228,4,297,2,2025-03-06,late_evening,7,True,False,continued,Community center courtyard
229,5,26,1,2025-10-17,afternoon,9,True,False,continued,Local café seating area
230,5,29,1,2025-09-02,early_evening,2,True,False,continued,Borough Park Library
231,5,29,2,2025-09-09,late_evening,2,True,False,continued,Borough Park Library
232,5,29,3,2025-09-16,early_evening,4,True,False,continued,18th Ave Small Plaza
233,5,29,4,2025-09-23,early_evening,19,True,False,continued,10th Ave bus stop benches
234,5,53,1,2025-01-27,early_evening,9,True,False,continued,Local café seating area
235,5,53,2,2025-02-03,afternoon,18,True,False,continued,Neighborhood clinic garden
236,5,53,3,2025-02-10,late_evening,13,True,False,continued,13th Ave Plaza Seating
237,5,53,4,2025-02-17,early_evening,6,True,False,continued,Small playground on 17th Ave
238,5,53,5,2025-02-24,early_evening,13,False,False,stopped,13th Ave Plaza Seating
239,5,81,1,2025-05-08,late_evening,1,True,False,continued,Leif Ericson Park - benches
240,5,81,2,2025-05-15,early_evening,2,True,False,continued,Borough Park Library
241,5,81,3,2025-05-22,early_evening,14,True,False,continued,45th St Mini Playground
242,5,81,4,2025-05-29,early_evening,13,True,False,continued,13th Ave Plaza Seating
243,5,81,5,2025-06-05,afternoon,3,True,False,continued,14th Ave Green Corridor
244,5,118,1,2025-12-05,early_evening,7,True,False,continued,Community center courtyard
245,5,160,1,2025-03-22,early_evening,9,True,False,continued,Local café seating area
246,5,160,2,2025-03-29,afternoon,16,True,False,continued,60th St Sitting Area
247,5,184,1,2025-03-25,early_evening,9,True,False,continued,Local café seating area
248,5,184,2,2025-04-01,afternoon,4,True,False,continued,18th Ave Small Plaza
249,5,217,1,2025-10-06,early_evening,4,True,False,continued,18th Ave Small Plaza
250,5,218,1,2025-11-15,early_evening,5,True,False,continued,Schoolyard near 50th St
251,5,218,2,2025-11-22,early_evening,10,True,False,continued,Side-street benches near 15th Ave
252,5,219,1,2025-03-23,afternoon,16,True,False,continued,60th St Sitting Area
253,5,219,2,2025-03-30,late_evening,5,True,False,continued,Schoolyard near 50th St
254,5,219,3,2025-04-06,afternoon,3,True,False,continued,14th Ave Green Corridor
255,5,219,4,2025-04-13,early_evening,3,True,False,continued,14th Ave Green Corridor
256,5,219,5,2025-04-20,early_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
257,5,234,1,2025-06-05,late_evening,14,True,True,engaged,45th St Mini Playground
258,5,234,2,2025-06-12,afternoon,2,True,False,continued,Borough Park Library
259,5,234,3,2025-06-19,early_evening,1,True,False,continued,Leif Ericson Park - benches
260,5,234,4,2025-06-26,late_evening,9,False,False,stopped,Local café seating area
261,5,234,5,2025-07-03,early_evening,2,True,False,continued,Borough Park Library
262,5,258,1,2025-09-06,afternoon,14,True,True,engaged,45th St Mini Playground
263,5,258,2,2025-09-13,early_evening,4,True,False,continued,18th Ave Small Plaza
264,5,258,3,2025-09-20,early_evening,2,False,False,stopped,Borough Park Library
265,5,258,4,2025-09-27,early_evening,17,True,False,continued,Overpass seating by New Utrecht Ave
266,5,279,1,2025-12-17,early_evening,2,True,False,continued,Borough Park Library
267,5,279,2,2025-12-24,early_evening,3,True,True,engaged,14th Ave Green Corridor
268,5,281,1,2025-08-08,afternoon,2,True,False,continued,Borough Park Library
269,5,290,1,2025-10-14,early_evening,2,True,False,continued,Borough Park Library
270,5,290,2,2025-10-21,early_evening,1,True,False,continued,Leif Ericson Park - benches
271,5,290,3,2025-10-28,early_evening,1,True,False,continued,Leif Ericson Park - benches
272,6,18,1,2025-05-09,early_evening,2,True,False,continued,Borough Park Library
273,6,18,2,2025-05-16,early_evening,1,True,False,continued,Leif Ericson Park - benches
274,6,18,3,2025-05-23,afternoon,9,True,False,continued,Local café seating area
275,6,18,4,2025-05-30,late_evening,10,True,False,continued,Side-street benches near 15th Ave
276,6,18,5,2025-06-06,late_evening,4,True,False,continued,18th Ave Small Plaza
277,6,30,1,2025-07-09,afternoon,4,True,False,continued,18th Ave Small Plaza
278,6,30,2,2025-07-16,late_evening,7,True,False,continued,Community center courtyard
279,6,44,1,2025-11-17,early_evening,16,True,False,continued,60th St Sitting Area
280,6,44,2,2025-11-24,early_evening,15,True,False,continued,16th Ave Shul Courtyard
281,6,44,3,2025-12-01,early_evening,1,True,False,continued,Leif Ericson Park - benches
282,6,50,1,2025-11-21,afternoon,2,False,False,stopped,Borough Park Library
283,6,57,1,2025-08-15,early_evening,3,True,False,continued,14th Ave Green Corridor
284,6,57,2,2025-08-22,afternoon,3,True,False,continued,14th Ave Green Corridor
285,6,57,3,2025-08-29,early_evening,8,True,False,continued,Quiet corner near 53rd St
286,6,96,1,2025-05-13,late_evening,4,True,False,continued,18th Ave Small Plaza
287,6,96,2,2025-05-20,afternoon,1,True,False,continued,Leif Ericson Park - benches
288,6,96,3,2025-05-27,afternoon,4,True,False,continued,18th Ave Small Plaza
289,6,96,4,2025-06-03,afternoon,7,True,False,continued,Community center courtyard
290,6,96,5,2025-06-10,afternoon,1,True,False,continued,Leif Ericson Park - benches
291,6,97,1,2025-12-21,early_evening,14,True,False,continued,45th St Mini Playground
292,6,98,1,2025-06-05,late_evening,1,True,False,continued,Leif Ericson Park - benches
293,6,98,2,2025-06-12,early_evening,17,True,True,engaged,Overpass seating by New Utrecht Ave
294,6,98,3,2025-06-19,early_evening,1,True,True,engaged,Leif Ericson Park - benches
295,6,98,4,2025-06-26,afternoon,14,True,False,continued,45th St Mini Playground
296,6,125,1,2025-06-10,afternoon,17,True,False,continued,Overpass seating by New Utrecht Ave
297,6,125,2,2025-06-17,afternoon,20,True,False,continued,18th Ave median benches
298,6,125,3,2025-06-24,early_evening,13,True,False,continued,13th Ave Plaza Seating
299,6,138,1,2025-01-02,early_evening,13,True,False,continued,13th Ave Plaza Seating
300,6,148,1,2025-10-26,late_evening,9,True,False,continued,Local café seating area
301,6,150,1,2025-01-22,late_evening,13,True,False,continued,13th Ave Plaza Seating
302,6,150,2,2025-01-29,afternoon,2,True,False,continued,Borough Park Library
303,6,150,3,2025-02-05,afternoon,7,False,False,stopped,Community center courtyard
304,6,150,4,2025-02-12,afternoon,7,True,False,continued,Community center courtyard
305,6,164,1,2025-08-21,early_evening,15,True,False,continued,16th Ave Shul Courtyard
306,6,164,2,2025-08-28,early_evening,5,True,False,continued,Schoolyard near 50th St
307,6,164,3,2025-09-04,early_evening,4,True,False,continued,18th Ave Small Plaza
308,6,164,4,2025-09-11,early_evening,9,True,False,continued,Local café seating area
309,6,164,5,2025-09-18,early_evening,3,True,False,continued,14th Ave Green Corridor
310,6,175,1,2025-11-29,early_evening,2,True,False,continued,Borough Park Library
311,6,175,2,2025-12-06,afternoon,6,True,False,continued,Small playground on 17th Ave
312,6,175,3,2025-12-13,afternoon,4,True,False,continued,18th Ave Small Plaza
313,6,181,1,2025-11-21,afternoon,3,True,False,continued,14th Ave Green Corridor
314,6,181,2,2025-11-28,early_evening,4,True,True,engaged,18th Ave Small Plaza
315,6,181,3,2025-12-05,afternoon,4,True,False,continued,18th Ave Small Plaza
316,6,197,1,2025-06-02,early_evening,4,True,False,continued,18th Ave Small Plaza
317,6,197,2,2025-06-09,early_evening,4,True,False,continued,18th Ave Small Plaza
318,6,197,3,2025-06-16,early_evening,10,True,False,continued,Side-street benches near 15th Ave
319,6,197,4,2025-06-23,early_evening,3,True,False,continued,14th Ave Green Corridor
320,6,204,1,2025-05-24,early_evening,18,True,False,continued,Neighborhood clinic garden
321,6,204,2,2025-05-31,afternoon,17,True,False,continued,Overpass seating by New Utrecht Ave
322,6,204,3,2025-06-07,afternoon,6,False,False,stopped,Small playground on 17th Ave
323,6,204,4,2025-06-14,late_evening,4,True,False,continued,18th Ave Small Plaza
324,6,204,5,2025-06-21,early_evening,7,True,False,continued,Community center courtyard
325,6,204,6,2025-06-28,afternoon,15,True,False,continued,16th Ave Shul Courtyard
326,6,205,1,2025-03-23,early_evening,10,True,False,continued,Side-street benches near 15th Ave
327,6,205,2,2025-03-30,early_evening,13,True,False,continued,13th Ave Plaza Seating
328,6,205,3,2025-04-06,afternoon,7,True,False,continued,Community center courtyard
329,6,212,1,2025-12-13,late_evening,9,True,False,continued,Local café seating area
330,6,212,2,2025-12-20,early_evening,3,True,False,continued,14th Ave Green Corridor
331,6,212,3,2025-12-27,early_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
332,6,212,4,2026-01-03,afternoon,3,True,False,continued,14th Ave Green Corridor
333,6,212,5,2026-01-10,early_evening,10,True,False,continued,Side-street benches near 15th Ave
334,6,267,1,2025-06-19,late_evening,15,True,False,continued,16th Ave Shul Courtyard
335,6,267,2,2025-06-26,late_evening,2,True,False,continued,Borough Park Library
336,6,267,3,2025-07-03,early_evening,9,True,False,continued,Local café seating area
337,6,267,4,2025-07-10,early_evening,1,True,False,continued,Leif Ericson Park - benches
338,6,267,5,2025-07-17,early_evening,12,True,False,continued,Fort Hamilton Pkwy Triangle
339,7,9,1,2025-02-21,early_evening,1,True,False,continued,Leif Ericson Park - benches
340,7,9,2,2025-02-28,early_evening,18,True,False,continued,Neighborhood clinic garden
